ID da resposta,"Li as informações apresentadas acima e concordo em participar voluntariamente deste levantamento de requisitos, autorizando o uso anonimizado das minhas respostas para fins acadêmicos",Qual a sua familiaridade com o conteúdo de projeto de memória cache (normalmente visto nas disciplinas de AOC1 e AOC2)?,"Você está cursando Arquitetura e Organização de Computadores II, seja laboratório ou teórica, ou é ex-aluno(a) da(s) disciplina(s)?","Durante a configuração de uma simulação no Beto, quais dificuldades você encontrou?","Durante a simulação no Beto, quais informações você sentiu falta para entender melhor como cada endereço acessado era tratado pela memória cache?",Quais problemas de usabilidade ou experiência de uso você percebeu ao usar o Beto?,"Considerando as dificuldades e problemas percebidos durante o uso do Beto, quais melhorias você considera mais importantes para uma nova versão da ferramenta? (Marque todas as opções que achar você achar ser essencial para compor uma ferramenta com o propósito do Beto)","Além das opções marcadas anteriormente, há alguma melhoria que você considera importante para uma nova versão do Beto? Se sim, descreva brevemente","De 1 a 4, quão útil você considera o Beto para apoiar o entendimento de memória cache?"
R01,Concordo em participar do levantamento de requisitos,Avançada,Cursando AOCII e LAOCII,Entender o significado dos campos de configuração;Saber quais valores eram válidos para os campos,Motivo da substituição realizada;Valor ou estado LRU de cada linha ou via,"Mensagens pouco claras;Falta de ajuda, instruções ou documentação dentro da interface",Explicar melhor os termos técnicos usados na interface;Mostrar a linha ou via escolhida em cada acesso;Exibir o valor ou estado LRU de cada linha ou via;Incluir suporte a operações de leitura e escrita (load/store);Incluir suporte a dirty bit e políticas de escrita;Disponibilizar exemplos prontos de simulação;Melhorar a ajuda ou documentação dentro da própria interface,"Adicionar explicação de como é feito o cálculo dos campos editáveis como se fosse uma tooltip, quando o usuário fizer hover sobre o campo (exemplo: exibir em um tooltip como é calculado o número de bits necessários para o endereço ao passar o cursor do mouse em cima do campo ""Bits necessários para o endereço""",4
R02,Concordo em participar do levantamento de requisitos,Intermediária,Ex-aluno AOCII e/ou LAOCII,Falta de mensagens de erro claras quando algum valor estava incorreto,Não senti falta de informações nessa etapa,Excesso de informação na tela,Melhorar a ajuda ou documentação dentro da própria interface,,3
R03,Concordo em participar do levantamento de requisitos,Intermediária,Ex-aluno AOCII e/ou LAOCII,"Entender o significado dos campos de configuração;Saber quais valores eram válidos para os campos;Entender a relação entre memória principal, bloco e linhas de cache;Identificar quais campos precisavam ser preenchidos antes de iniciar a simulação",Valor ou estado LRU de cada linha ou via,"Falta de feedback após executar uma ação;Termos técnicos sem explicação suficiente;Excesso de informação na tela;Falta de ajuda, instruções ou documentação dentro da interface",Melhorar a validação de entradas antes de iniciar a simulação;Apresentar mensagens de erro mais claras e didáticas;Explicar melhor os termos técnicos usados na interface;Exibir o valor ou estado LRU de cada linha ou via;Melhorar a ajuda ou documentação dentro da própria interface,"Imagino que seria importante ter uma transparência maior em relação à memória principal. Além disso, acho importante ter uma maior clareza ao informar quando (ou se) a simulação terminou. Às vezes, executar o mesmo o valor da entrada repetidas vezes produzia saídas diferentes pois o simulador ainda considerava o estado da execução anterior.",4
R04,Concordo em participar do levantamento de requisitos,Avançada,Cursando AOCII e LAOCII,Não encontrei dificuldades nessa etapa,Valor ou estado LRU de cada linha ou via;Dirty bit/bit de sujeira,Não percebi problemas de usabilidade,Explicar melhor os termos técnicos usados na interface;Exibir o valor ou estado LRU de cada linha ou via;Incluir suporte a operações de leitura e escrita (load/store);Incluir suporte a dirty bit e políticas de escrita;Disponibilizar exemplos prontos de simulação;Melhorar a ajuda ou documentação dentro da própria interface,,4
R05,Concordo em participar do levantamento de requisitos,Avançada,Ex-aluno AOCII e/ou LAOCII,Entender o significado dos campos de configuração;Saber quais valores eram válidos para os campos;Campos desalinhados ou visualmente confusos,Linha ou via escolhida na cache;Valor ou estado LRU de cada linha ou via,"Termos técnicos sem explicação suficiente;Excesso de informação na tela;Falta de ajuda, instruções ou documentação dentro da interface",Apresentar mensagens de erro mais claras e didáticas;Reorganizar visualmente os campos de configuração;Explicar melhor os termos técnicos usados na interface;Exibir o valor ou estado LRU de cada linha ou via;Incluir suporte a operações de leitura e escrita (load/store);Incluir suporte a dirty bit e políticas de escrita;Disponibilizar exemplos prontos de simulação;Melhorar a ajuda ou documentação dentro da própria interface,"Quanto maior é o número de Células em cada bloco da MP (Configuração), o tempo para arredondar o valor para a potência de 2 mais próxima vai aumentando, seja aumentando ou diminuindo, mais demorado é o cálculo, chegando a travar a aplicação inteira.",3
R06,Concordo em participar do levantamento de requisitos,Avançada,Ex-aluno AOCII e/ou LAOCII,Entender o significado dos campos de configuração,"Indicação mais clara de acerto (hit) ou falta (miss);Histórico passo a passo dos acessos realizados;Estatísticas finais, como quantidade de hits, misses e taxa de acerto",Falta de feedback após executar uma ação;Dificuldade para corrigir um erro durante a configuração ou execução;Excesso de informação na tela,"Reorganizar visualmente os campos de configuração;Incluir suporte a dirty bit e políticas de escrita;Apresentar estatísticas finais da simulação, como hits, misses e taxa de acerto;Disponibilizar exemplos prontos de simulação","Em ""acessos à memória"", os campos ""Endereço, Binário"" etc poderiam ser fixos; ao scrollar, eles poderiam continuar ali para um entendimento mais claro. Talvez fazer um detalhamento do ""binário"" de ""acessos à memória"" assim como na ""memória cache"" seja interessante.",4
R07,Concordo em participar do levantamento de requisitos,Avançada,Ex-aluno AOCII e/ou LAOCII,Não encontrei dificuldades nessa etapa,Não senti falta de informações nessa etapa,Excesso de informação na tela,Melhorar a validação de entradas antes de iniciar a simulação;Explicar melhor os termos técnicos usados na interface;Melhorar a ajuda ou documentação dentro da própria interface,,4
R08,Concordo em participar do levantamento de requisitos,Básica,Ex-aluno AOCII e/ou LAOCII,Entender o significado dos campos de configuração;Saber quais valores eram válidos para os campos;Escolher o tipo de mapeamento;Escolher a política de substituição;Identificar quais campos precisavam ser preenchidos antes de iniciar a simulação;Campos desalinhados ou visualmente confusos,"Indicação mais clara de acerto (hit) ou falta (miss);Linha ou via escolhida na cache;Motivo da substituição realizada;Valor ou estado LRU de cada linha ou via;Histórico passo a passo dos acessos realizados;Estatísticas finais, como quantidade de hits, misses e taxa de acerto","Falta de feedback após executar uma ação;Mensagens pouco claras;Termos técnicos sem explicação suficiente;Falta de ajuda, instruções ou documentação dentro da interface","Apresentar mensagens de erro mais claras e didáticas;Explicar melhor os termos técnicos usados na interface;Mostrar a linha ou via escolhida em cada acesso;Exibir o valor ou estado LRU de cada linha ou via;Exibir o bit de validade;Incluir suporte a operações de leitura e escrita (load/store);Incluir suporte a dirty bit e políticas de escrita;Apresentar estatísticas finais da simulação, como hits, misses e taxa de acerto;Disponibilizar exemplos prontos de simulação;Melhorar a ajuda ou documentação dentro da própria interface",,3
R09,Concordo em participar do levantamento de requisitos,Avançada,Cursando AOCII e LAOCII,Não encontrei dificuldades nessa etapa,Valor ou estado LRU de cada linha ou via;Dirty bit/bit de sujeira,Não percebi problemas de usabilidade,"Apresentar mensagens de erro mais claras e didáticas;Mostrar a decomposição do endereço em tag, índice/conjunto e deslocamento;Exibir o valor ou estado LRU de cada linha ou via;Incluir suporte a operações de leitura e escrita (load/store);Melhorar a ajuda ou documentação dentro da própria interface","Ajustar os controles ""Células da MP"" e ""Linhas na MC"". Toda vez que valores não múltiplos de 8 são inseridos, a aba de detalhamento quebra, fazendo a Tag e o Conjunto apresentarem números fracionários na quantidade de bits. ",4
R10,Concordo em participar do levantamento de requisitos,Avançada,Cursando AOCII e LAOCII,"Saber quais valores eram válidos para os campos;Entender a relação entre memória principal, bloco e linhas de cache;Falta de mensagens de erro claras quando algum valor estava incorreto",Valor ou estado LRU de cada linha ou via,Mensagens pouco claras,"Melhorar a validação de entradas antes de iniciar a simulação;Apresentar mensagens de erro mais claras e didáticas;Explicar melhor os termos técnicos usados na interface;Mostrar a decomposição do endereço em tag, índice/conjunto e deslocamento;Exibir o valor ou estado LRU de cada linha ou via;Incluir suporte a operações de leitura e escrita (load/store);Incluir suporte a dirty bit e políticas de escrita;Disponibilizar exemplos prontos de simulação",o sistema de gerar endereços aleatórios não funciona a partir do momento que você edita algum endereço ,3
